| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| llama ?B Q4_0                  |  17.50 MiB |    24.41 M | CPU        |       1 |           pp512 |     5692.47 ± 369.53 |
| llama ?B Q4_0                  |  17.50 MiB |    24.41 M | CPU        |       1 |           tg128 |       902.38 ± 64.15 |
| llama ?B Q4_0                  |  17.50 MiB |    24.41 M | CPU        |       2 |           pp512 |   10426.85 ± 1252.93 |
| llama ?B Q4_0                  |  17.50 MiB |    24.41 M | CPU        |       2 |           tg128 |      1464.22 ± 52.55 |
| llama ?B Q4_0                  |  17.50 MiB |    24.41 M | CPU        |       4 |           pp512 |    16631.42 ± 964.91 |
| llama ?B Q4_0                  |  17.50 MiB |    24.41 M | CPU        |       4 |           tg128 |     1681.29 ± 160.97 |
| llama ?B Q4_0                  |  17.50 MiB |    24.41 M | CPU        |       8 |           pp512 |    17019.89 ± 847.03 |
| llama ?B Q4_0                  |  17.50 MiB |    24.41 M | CPU        |       8 |           tg128 |      1839.99 ± 25.64 |

build: 961e4b2 (1)
